time,forecasted price,price actual
2015-01-01 01:00:00+01:00,50.1,64.92
2015-01-01 02:00:00+01:00,48.1,64.48
2015-01-01 03:00:00+01:00,47.33,59.32
2015-01-01 04:00:00+01:00,42.27,56.04
2015-01-01 05:00:00+01:00,38.41,53.63
2015-01-01 06:00:00+01:00,35.72,51.73
2015-01-01 07:00:00+01:00,35.13,51.43
2015-01-01 08:00:00+01:00,36.22,48.98
2015-01-01 09:00:00+01:00,32.4,54.2
2015-01-01 10:00:00+01:00,36.6,58.94
2015-01-01 11:00:00+01:00,43.1,59.86
2015-01-01 12:00:00+01:00,45.14,60.12
2015-01-01 13:00:00+01:00,45.14,62.05
2015-01-01 14:00:00+01:00,47.35,62.06
2015-01-01 15:00:00+01:00,47.35,59.76
2015-01-01 16:00:00+01:00,43.61,61.18
2015-01-01 17:00:00+01:00,44.91,64.74
2015-01-01 18:00:00+01:00,48.1,74.26
2015-01-01 19:00:00+01:00,58.02,74.24
2015-01-01 20:00:00+01:00,61.01,75.64
2015-01-01 21:00:00+01:00,62.69,73.92
2015-01-01 22:00:00+01:00,60.41,70.53
2015-01-01 23:00:00+01:00,58.15,64.13
2015-01-02 00:00:00+01:00,53.6,64.02
2015-01-02 01:00:00+01:00,10,58.46
2015-01-02 02:00:00+01:00,7,54.7
2015-01-02 03:00:00+01:00,5,54.91
2015-01-02 04:00:00+01:00,4,53.07
2015-01-02 05:00:00+01:00,4,54.23
2015-01-02 06:00:00+01:00,4.8,58.22
2015-01-02 07:00:00+01:00,5,67.55
2015-01-02 08:00:00+01:00,7.04,70.33
2015-01-02 09:00:00+01:00,7.04,71.26
2015-01-02 10:00:00+01:00,7.88,75.86
2015-01-02 11:00:00+01:00,10.71,73.65
2015-01-02 12:00:00+01:00,10,74.19
2015-01-02 13:00:00+01:00,7.04,71.51
2015-01-02 14:00:00+01:00,7,71.04
2015-01-02 15:00:00+01:00,6.33,71.24
2015-01-02 16:00:00+01:00,5,70.64
2015-01-02 17:00:00+01:00,6.21,72.85
2015-01-02 18:00:00+01:00,9.98,82.55
2015-01-02 19:00:00+01:00,33.15,83.33
2015-01-02 20:00:00+01:00,50,83.23
2015-01-02 21:00:00+01:00,52.01,79.06
2015-01-02 22:00:00+01:00,50.01,76.2
2015-01-02 23:00:00+01:00,45.8,71.75
2015-01-03 00:00:00+01:00,41.74,66.82
2015-01-03 01:00:00+01:00,35.62,63.35
2015-01-03 02:00:00+01:00,27.1,58.79
2015-01-03 03:00:00+01:00,25,57.44
2015-01-03 04:00:00+01:00,20.01,55.29
2015-01-03 05:00:00+01:00,17.1,56.22
2015-01-03 06:00:00+01:00,17.22,58.13
2015-01-03 07:00:00+01:00,20.14,62.06
2015-01-03 08:00:00+01:00,19.87,67.36
2015-01-03 09:00:00+01:00,20.22,69.21
2015-01-03 10:00:00+01:00,25.22,70.35
2015-01-03 11:00:00+01:00,25.13,68.77
2015-01-03 12:00:00+01:00,27.1,68.82
2015-01-03 13:00:00+01:00,28.71,68.23
2015-01-03 14:00:00+01:00,25,67.97
2015-01-03 15:00:00+01:00,23.68,62.76
2015-01-03 16:00:00+01:00,14.87,62.03
2015-01-03 17:00:00+01:00,11.7,66.69
2015-01-03 18:00:00+01:00,19.52,71.5
2015-01-03 19:00:00+01:00,25.13,72.14
2015-01-03 20:00:00+01:00,39.71,72.45
2015-01-03 21:00:00+01:00,44,72.86
2015-01-03 22:00:00+01:00,41.21,70.1
2015-01-03 23:00:00+01:00,35.69,67.62
2015-01-04 00:00:00+01:00,30.23,55.22
2015-01-04 01:00:00+01:00,24.65,50.54
2015-01-04 02:00:00+01:00,20.2,48.68
2015-01-04 03:00:00+01:00,19.16,48.02
2015-01-04 04:00:00+01:00,21.9,47.06
2015-01-04 05:00:00+01:00,14.9,46.79
2015-01-04 06:00:00+01:00,24.65,47.63
2015-01-04 07:00:00+01:00,28.01,47.44
2015-01-04 08:00:00+01:00,27.51,50.84
2015-01-04 09:00:00+01:00,33.96,54.84
2015-01-04 10:00:00+01:00,38,59.95
2015-01-04 11:00:00+01:00,37.17,59.35
2015-01-04 12:00:00+01:00,35.01,57.03
2015-01-04 13:00:00+01:00,38,59.22
2015-01-04 14:00:00+01:00,38.12,58.56
2015-01-04 15:00:00+01:00,30.4,52.07
2015-01-04 16:00:00+01:00,27.58,52.15
2015-01-04 17:00:00+01:00,27.56,61.12
2015-01-04 18:00:00+01:00,27.5,71.98
2015-01-04 19:00:00+01:00,26.53,74.64
2015-01-04 20:00:00+01:00,30,75.38
2015-01-04 21:00:00+01:00,39.7,76.49
2015-01-04 22:00:00+01:00,40.48,73.83
2015-01-04 23:00:00+01:00,37.97,69.51
2015-01-05 00:00:00+01:00,28,70.77
2015-01-05 01:00:00+01:00,43.49,64.89
2015-01-05 02:00:00+01:00,35.5,60.91
2015-01-05 03:00:00+01:00,35.2,59.68
2015-01-05 04:00:00+01:00,35.2,58.04
2015-01-05 05:00:00+01:00,30.6,59.57
2015-01-05 06:00:00+01:00,30.6,69.73
2015-01-05 07:00:00+01:00,30.6,72.97
2015-01-05 08:00:00+01:00,30,77.92
2015-01-05 09:00:00+01:00,30.6,79.59
2015-01-05 10:00:00+01:00,35.3,81.75
2015-01-05 11:00:00+01:00,35.2,80.82
2015-01-05 12:00:00+01:00,35.4,79.14
2015-01-05 13:00:00+01:00,35.5,73.95
2015-01-05 14:00:00+01:00,36.8,71.93
2015-01-05 15:00:00+01:00,32.5,71.5
2015-01-05 16:00:00+01:00,30,71.85
2015-01-05 17:00:00+01:00,30,80.53
2015-01-05 18:00:00+01:00,30.6,89.08
2015-01-05 19:00:00+01:00,42.01,90.97
2015-01-05 20:00:00+01:00,51.4,88.51
2015-01-05 21:00:00+01:00,55.35,82.85
2015-01-05 22:00:00+01:00,62,80.52
2015-01-05 23:00:00+01:00,60.01,72.18
2015-01-06 00:00:00+01:00,57.6,71.48
2015-01-06 01:00:00+01:00,53.01,64.76
2015-01-06 02:00:00+01:00,45.65,60.22
2015-01-06 03:00:00+01:00,44.04,57.14
2015-01-06 04:00:00+01:00,43.58,53.94
2015-01-06 05:00:00+01:00,43.98,53.43
2015-01-06 06:00:00+01:00,44.91,56.68
2015-01-06 07:00:00+01:00,51,63.49
2015-01-06 08:00:00+01:00,55.76,66.75
2015-01-06 09:00:00+01:00,59.95,73.07
2015-01-06 10:00:00+01:00,60.5,78.95
2015-01-06 11:00:00+01:00,61.29,75.91
2015-01-06 12:00:00+01:00,61.69,73.12
2015-01-06 13:00:00+01:00,61.95,68.02
2015-01-06 14:00:00+01:00,61.29,66.67
2015-01-06 15:00:00+01:00,60.09,65.08
2015-01-06 16:00:00+01:00,60.5,66.1
2015-01-06 17:00:00+01:00,60.69,72
2015-01-06 18:00:00+01:00,60.69,78.6
2015-01-06 19:00:00+01:00,58.9,81.18
2015-01-06 20:00:00+01:00,57,81.65
2015-01-06 21:00:00+01:00,57,78.63
2015-01-06 22:00:00+01:00,59.88,73.2
2015-01-06 23:00:00+01:00,59.6,72.46
2015-01-07 00:00:00+01:00,55.76,67.24
2015-01-07 01:00:00+01:00,59.52,64.17
2015-01-07 02:00:00+01:00,51.1,62.12
2015-01-07 03:00:00+01:00,47.03,62.11
2015-01-07 04:00:00+01:00,48.5,60.05
2015-01-07 05:00:00+01:00,48.79,62.48
2015-01-07 06:00:00+01:00,50.51,70.01
2015-01-07 07:00:00+01:00,59.13,75.2
2015-01-07 08:00:00+01:00,60.8,83.3
2015-01-07 09:00:00+01:00,61.87,93.14
2015-01-07 10:00:00+01:00,64.23,100.45
2015-01-07 11:00:00+01:00,66.5,95.17
2015-01-07 12:00:00+01:00,67.1,85.23
2015-01-07 13:00:00+01:00,66.1,81.5
2015-01-07 14:00:00+01:00,65,77.29
2015-01-07 15:00:00+01:00,59.75,76.61
2015-01-07 16:00:00+01:00,59.61,77.15
2015-01-07 17:00:00+01:00,59.53,79.51
2015-01-07 18:00:00+01:00,61.1,91.05
2015-01-07 19:00:00+01:00,61.1,95.29
2015-01-07 20:00:00+01:00,61.1,91.25
2015-01-07 21:00:00+01:00,61.87,87.08
2015-01-07 22:00:00+01:00,63.71,78.15
2015-01-07 23:00:00+01:00,64.1,75.07
